Plate_1,1,2,3,4,5,6,7,8,9,10,11,12
A,28,57,49,106,58,118,39,68,85,211,26,70
B,36,60,35,51,118,138,31,160,65,31,33,46
C,81,225,35,39,71,434,28,301,255,143,46,61
D,45,92,47,61,48,85,86,93,68,74,80,30
E,23,43,86,37,64,43,42,78,68,98,106,23
F,57,109,59,28,117,44,53,181,39,43,79,23
G,79,229,298,265,240,240,430,79,60,202,138,57
H,47,217,99,126,179,375,79,111,47,127,52,53
,,,,,,,,,,,,
Plate_2,1,2,3,4,5,6,7,8,9,10,11,12
A,36,19,52,24,346,270,27,16,104,21,19,85
B,58,83,33,174,169,69,41,186,103,72,88,22
C,29,31,36,190,35,52,231,202,77,184,39,33
D,31,27,40,63,34,46,223,28,50,99,22,25
E,29,254,272,287,166,121,126,40,254,316,213,60
F,36,56,44,104,88,61,37,95,41,27,35,58
G,36,59,183,198,76,96,187,32,146,121,104,24
H,35,68,75,230,57,69,92,81,63,80,41,58
,,,,,,,,,,,,
Plate_3,1,2,3,4,5,6,7,8,9,10,11,12
A,55,42,38,64,155,371,58,142,72,64,34,40
B,34,286,258,63,48,209,310,277,333,168,219,40
C,51,31,148,44,26,102,23,45,48,105,185,34
D,30,44,224,53,90,218,76,99,39,53,93,29
E,67,36,95,54,35,36,65,95,57,64,56,31
F,67,78,180,158,220,70,189,57,73,74,89,53
G,72,61,100,289,36,40,50,30,42,51,62,110
H,88,348,49,302,41,257,237,248,31,69,56,86
,,,,,,,,,,,,
Plate_4,1,2,3,4,5,6,7,8,9,10,11,12
A,27,41,27,49,30,28,27,28,49,99,77,23
B,13,33,28,46,18,42,29,40,52,60,43,36
C,51,38,33,236,229,21,48,71,45,63,111,36
D,90,27,35,31,68,16,43,19,21,92,74,34
E,86,100,65,120,146,129,29,23,25,162,22,10
F,8,7,8,8,7,7,7,7,8,7,7,7
G,7,279,413,594,786,939,7,7,8,8,8,8
H,7,8,7,8,8,7,7,8,8,8,8,8
