Source.Wells,Source.Plate,strain,mating,drug,Target.Wells,Target.Plate,Volume
B03,01_17,YCP a,a,KAN,A01,a_KAN_3,2
B12,01_17,CCN a,a,KAN,A02,a_KAN_3,2
C08,01_17,EFK a,a,KAN,A03,a_KAN_3,2
C09,01_17,CCN a,a,KAN,A04,a_KAN_3,2
D03,01_17,YCP a,a,KAN,A05,a_KAN_3,2
D07,01_17,EFK a,a,KAN,A06,a_KAN_3,2
D10,01_17,CCN a,a,KAN,A07,a_KAN_3,2
D11,01_17,CCN a,a,KAN,A08,a_KAN_3,2
D12,01_17,CCN a,a,KAN,A09,a_KAN_3,2
E08,01_17,BRD a,a,KAN,A10,a_KAN_3,2
E10,01_17,CCQ a,a,KAN,A11,a_KAN_3,2
F01,01_17,BVK a,a,KAN,A12,a_KAN_3,2
F02,01_17,BVK a,a,KAN,B01,a_KAN_3,2
F03,01_17,BVK a,a,KAN,B02,a_KAN_3,2
G04,01_17,BVK a,a,KAN,B03,a_KAN_3,2
G11,01_17,CCQ a,a,KAN,B05,a_KAN_3,2
A03,01_18,BHV a,a,KAN,B06,a_KAN_3,2
A05,01_18,CDQ a,a,KAN,B07,a_KAN_3,2
A07,01_18,CDQ a,a,KAN,B08,a_KAN_3,2
A08,01_18,CDQ a,a,KAN,B09,a_KAN_3,2
A09,01_18,BIB a,a,KAN,B10,a_KAN_3,2
A12,01_18,BIB a,a,KAN,B11,a_KAN_3,2
B03,01_18,BHV a,a,KAN,B12,a_KAN_3,2
B05,01_18,CDQ a,a,KAN,C01,a_KAN_3,2
C06,01_18,CDQ a,a,KAN,C02,a_KAN_3,2
E07,01_18,YAQ a,a,KAN,C03,a_KAN_3,2
E08,01_18,YAQ a,a,KAN,C04,a_KAN_3,2
G03,01_18,YDB a,a,KAN,C05,a_KAN_3,2
G06,01_18,YAQ a,a,KAN,C06,a_KAN_3,2
A03,01_19,BNF a,a,KAN,C07,a_KAN_3,2
A06,01_19,BHK a,a,KAN,C08,a_KAN_3,2
A08,01_19,BHK a,a,KAN,C09,a_KAN_3,2
B04,01_19,BNF a,a,KAN,C10,a_KAN_3,2
C01,01_19,BNF a,a,KAN,C11,a_KAN_3,2
C02,01_19,BNF a,a,KAN,C12,a_KAN_3,2
C05,01_19,BHK a,a,KAN,D01,a_KAN_3,2
C07,01_19,BHK a,a,KAN,D02,a_KAN_3,2
D01,01_19,BNF a,a,KAN,D03,a_KAN_3,2
E02,01_19,BPM a,a,KAN,D04,a_KAN_3,2
E05,01_19,BTG a,a,KAN,D05,a_KAN_3,2
E11,01_19,YBN a,a,KAN,D06,a_KAN_3,2
F10,01_19,YBN a,a,KAN,D07,a_KAN_3,2
G01,01_19,BPM a,a,KAN,D08,a_KAN_3,2
G03,01_19,BPM a,a,KAN,D09,a_KAN_3,2
H04,01_19,BPM a,a,KAN,D10,a_KAN_3,2
A02,01_20,ANC a,a,KAN,D11,a_KAN_3,2
A03,01_20,ANC a,a,KAN,D12,a_KAN_3,2
A05,01_20,BAM a,a,KAN,E01,a_KAN_3,2
B01,01_20,ANC a,a,KAN,E02,a_KAN_3,2
C04,01_20,ANC a,a,KAN,E03,a_KAN_3,2
E05,01_20,BAK a,a,KAN,E04,a_KAN_3,2
E06,01_20,BAK a,a,KAN,E05,a_KAN_3,2
E07,01_20,BAK a,a,KAN,E06,a_KAN_3,2
E08,01_20,BAK a,a,KAN,E07,a_KAN_3,2
E10,01_20,YBH a,a,KAN,E08,a_KAN_3,2
F02,01_20,YDC a,a,KAN,E09,a_KAN_3,2
F04,01_20,YDC a,a,KAN,E11,a_KAN_3,2
F05,01_20,BAK a,a,KAN,E12,a_KAN_3,2
G09,01_20,YBH a,a,KAN,F01,a_KAN_3,2
G11,01_20,YBH a,a,KAN,F02,a_KAN_3,2
A02,01_21,YDE a,a,KAN,F03,a_KAN_3,2
A05,01_21,CHA a,a,KAN,F04,a_KAN_3,2
A08,01_21,CHA a,a,KAN,F05,a_KAN_3,2
A09,01_21,BAT a,a,KAN,F06,a_KAN_3,2
A10,01_21,BAT a,a,KAN,F07,a_KAN_3,2
A11,01_21,BAT a,a,KAN,F08,a_KAN_3,2
B02,01_21,YDE a,a,KAN,F09,a_KAN_3,2
