Source.Wells,Source.Plate,strain,mating,drug,Target.Wells,Target.Plate,Volume
F08,01_36,AKH x,x,HYG,A01,x_HYG_2,2
G03,01_36,CKT x,x,HYG,A02,x_HYG_2,2
G05,01_36,AKH x,x,HYG,A03,x_HYG_2,2
G07,01_36,AKH x,x,HYG,A04,x_HYG_2,2
B01,01_37,BNR x,x,HYG,A05,x_HYG_2,2
B04,01_37,BNR x,x,HYG,A06,x_HYG_2,2
C02,01_37,BNR x,x,HYG,A07,x_HYG_2,2
C10,01_37,CCG x,x,HYG,A08,x_HYG_2,2
D04,01_37,BNR x,x,HYG,A09,x_HYG_2,2
E01,01_37,CDN x,x,HYG,A10,x_HYG_2,2
E03,01_37,CDN x,x,HYG,A11,x_HYG_2,2
E05,01_37,CMB x,x,HYG,A12,x_HYG_2,2
E06,01_37,CMB x,x,HYG,B01,x_HYG_2,2
F01,01_37,CDN x,x,HYG,B02,x_HYG_2,2
F02,01_37,CDN x,x,HYG,B03,x_HYG_2,2
F04,01_37,CDN x,x,HYG,B05,x_HYG_2,2
G02,01_37,CDN x,x,HYG,B06,x_HYG_2,2
G03,01_37,CDN x,x,HYG,B07,x_HYG_2,2
G06,01_37,CMB x,x,HYG,B08,x_HYG_2,2
H04,01_37,CDN x,x,HYG,B09,x_HYG_2,2
C06,01_41,AVI x,x,HYG,B10,x_HYG_2,2
C08,01_41,AVI x,x,HYG,B11,x_HYG_2,2
F03,01_41,ANLC x,x,HYG,B12,x_HYG_2,2
F06,01_41,BIT x,x,HYG,C01,x_HYG_2,2
F07,01_41,BIT x,x,HYG,C02,x_HYG_2,2
F08,01_41,BIT x,x,HYG,C03,x_HYG_2,2
G05,01_41,BIT x,x,HYG,C04,x_HYG_2,2
A12,01_42,RM11 x,x,HYG,C05,x_HYG_2,2
D06,01_42,APT x,x,HYG,C06,x_HYG_2,2
D07,01_42,APT x,x,HYG,C07,x_HYG_2,2
D08,01_42,APT x,x,HYG,C08,x_HYG_2,2
D09,01_42,RM11 x,x,HYG,C09,x_HYG_2,2
F03,01_42,BBR x,x,HYG,C10,x_HYG_2,2
G04,01_42,BBR x,x,HYG,C11,x_HYG_2,2
A08,01_43,BBB x,x,HYG,C12,x_HYG_2,2
A09,01_43,JLU x,x,HYG,D01,x_HYG_2,2
A11,01_43,JLU x,x,HYG,D02,x_HYG_2,2
B03,01_43,BQT x,x,HYG,D03,x_HYG_2,2
B04,01_43,BQT x,x,HYG,D04,x_HYG_2,2
B06,01_43,BBB x,x,HYG,D05,x_HYG_2,2
B10,01_43,JLU x,x,HYG,D06,x_HYG_2,2
B11,01_43,JLU x,x,HYG,D07,x_HYG_2,2
C02,01_43,BQT x,x,HYG,D08,x_HYG_2,2
D05,01_43,BBB x,x,HYG,D09,x_HYG_2,2
D08,01_43,BBB x,x,HYG,D10,x_HYG_2,2
E10,01_43,ALB x,x,HYG,D11,x_HYG_2,2
F07,01_43,YDN x,x,HYG,D12,x_HYG_2,2
G03,01_43,BSD x,x,HYG,E01,x_HYG_2,2
G05,01_43,YDN x,x,HYG,E02,x_HYG_2,2
H04,01_43,BSD x,x,HYG,E03,x_HYG_2,2
