Plate 1.1,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,APK x,,APK x,,,,,
B,,,,,,APK x,,APK x,,,,
C,,,,,APK x,,,,,,,
D,,,,,,APK x,APK x,APK a,,,,
E,,,,,,,,,AFF x,AFF x,,
F,,BFR a,,,BNH a,BNH x,,,AFF x,AFF x,AFF x,AFF x
G,,BFR x,BFR x,,BNH a,BNH x,BNH x,,AFF x,AFF x,AFF x,AFF x
H,BFR a,,BFR x,,,,BNH a,BNH x,AFF x,AFF x,AFF x,
,,,,,,,,,,,,
Plate 1.2,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,ADP x,ADP x,ADP x,ADP x,,CHL a,,
F,,,,,ADP x,ADP x,ADP x,ADP x,,CHL a,CHL a,
G,,,,,ADP x,ADP x,ADP x,ADP x,,CHL a,,
H,,,,,ADP x,ADP x,ADP x,ADP x,,CHL a,CHL a,
,,,,,,,,,,,,
Plate 1.3,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,CCH x,,YCQ x,YCQ a,,,,,
B,CCH x,CCH x,CCH x,,YCQ x,YCQ a,,,,,,
C,,CCH x,CCH a,,YCQ a,,,YCQ x,,CRD x,CRD x,CRD a
D,,,,,,YCQ x,YCQ x,,CRD a,CRD a,,
E,,,,BRE x,,,,,,,,
F,,BRE x,,BRE a,,,,,,,,
G,BRE x,,BRE x,,,,,,,,,
H,,,BRE a,,,,,,,,,
,,,,,,,,,,,,
Plate 1.4,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,YCO a,,,,
B,,,,,YCO x,,,,,,CGB x,
C,,,,,,YCO a,YCO a,,,CGB x,CGB x,
D,,,,,YCO a,YCO x,YCO x,,,CGB x,,
E,,,,,CCD x,,,,,,,
F,,,,,,,,CCD x,,,,
G,,,,,,,CCD x,,,,,
H,,,,,,CCD a,CCD a,,,,,
,,,,,,,,,,,,
Plate 1.5,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,BPV a
B,,,,,,,,,BPV x,BPV x,BPV a,BPV a
C,,,,,,,,,,BPV x,,
D,,YCI a,,,,,,,BPV x,,,
E,,,,,,,BFD a,,YBS x,,,
F,,,,,,,,BFD x,YBS a,,,
G,,,,CIT x,BFD x,BFD x,,,,,,
H,,,,,,,,,,YBS a,YBS x,
,,,,,,,,,,,,
Plate 1.6,1,2,3,4,5,6,7,8,9,10,11,12
A,,,AKE a,,,,,CDL a,BHT a,BHT a,BHT x,
B,,AKE 2.2,,AKE a,,,,,,,BHT x,
C,AKE a,AKE 2.3,,AKE x,CDL x,CDL a,CDL x,,,BHT x,,
D,,,AKE x,,CDL a,CDL x,CDL a,CDL a,BHT x,,,
E,,,BVD a,,,,JLF x,JLF a,,,,
F,,BVD 2.2,,BVD x,JLF a,,JLF x,,CLB x,,CLB x,
G,,BVD 2.3,BVD a,BVD a,JLF a,JLF a,,JLF x,,,,
